key,en
Space,space
Apostrophe,'
Comma,comma
Minus,minus
Period,period
Slash,slash
Key0,0
Key1,1
Key2,2
Key3,3
Key4,4
Key5,5
Key6,6
Key7,7
Key8,8
Key9,9
Semicolon,semicolon
Equal,equals
A,a
B,b
C,c
D,d
E,e
F,f
G,g
H,h
I,i
J,j
K,k
L,l
M,m
N,n
O,o
P,p
Q,q
R,r
S,s
T,t
U,u
V,v
W,w
X,x
Y,y
Z,z
LeftBracket,left bracket
Backslash,backslash
RightBracket,right bracket
GraveAccent,grave
World1,world 1
World2,world 2
Escape,escape
Enter,enter
Tab,tab
Backspace,backspace
Insert,insert
Delete,delete
Right,right
Left,left
Down,down
Up,up
PageUp,page up
PageDown,page down
Home,home
End,end
CapsLock,caps lock
ScrollLock,scroll lock
NumLock,num lock
PrintScreen,print screen
Pause,pause
F1,f1
F2,f2
F3,f3
F4,f4
F5,f5
F6,f6
F7,f7
F8,f8
F9,f9
F10,f10
F11,f11
F12,f12
F13,f13
F14,f14
F15,f15
F16,f16
F17,f17
F18,f18
F19,f19
F20,f20
F21,f21
F22,f22
F23,f23
F24,f24
F25,f25
Kp0,keypad 0
Kp1,keypad 1
Kp2,keypad 2
Kp3,keypad 3
Kp4,keypad 4
Kp5,keypad 5
Kp6,keypad 6
Kp7,keypad 7
Kp8,keypad 8
Kp9,keypad 9
KpDecimal,keypad decimal
KpDivide,keypad divide
KpMultiply,keypad multiply
KpSubtract,keypad subtract
KpAdd,keypad add
KpEnter,keypad enter
KpEqual,keypad equal
LeftShift,left shift
LeftControl,left control
LeftAlt,left alt
LeftSuper,left super
RightShift,right shift
RightControl,right control
RightAlt,right alt
RightSuper,right super
Menu,menu
Unknown,unknown
NOTE_NAMES,"C0, C#0, D0, D#0, E0, F0, F#0, G0, G#0, A0, A#0, B0, C1, C#1, D1, D#1, E1, F1, F#1, G1, G#1, A1, A#1, B1, C2, C#2, D2, D#2, E2, F2, F#2, G2, G#2, A2, A#2, B2, C3, C#3, D3, D#3, E3, F3, F#3, G3, G#3, A3, A#3, B3, C4, C#4, D4, D#4, E4, F4, F#4, G4, G#4, A4, A#4, B4, C5, C#5, D5, D#5, E5, F5, F#5, G5, G#5, A5, A#5, B5, C6, C#6, D6, D#6, E6, F6, F#6, G6, G#6, A6, A#6, B6, C7, C#7, D7, D#7, E7, F7, F#7, G7, G#7, A7, A#7, B7, C8, C#8, D8, D#8, E8, F8, F#8, G8, G#8, A8, A#8, B8, C9, C#9, D9, D#9, E9, F9, F#9, G9"
TIME_TTS,\0 minutes and \1 seconds
TIME_TTS_HOURS,"\0 hours, \1 minutes, and \2 seconds"
OR, or 
MIDI_CONTROL,MIDI control \0 channel \1
APP_TTS,"Hello world. I am Casey the Cacodemon. \0 to get the status of the current panel. \1 to ask me what the input controls are. \3 to ask me about files. \4 to ask me about the config file. \5 to quit. \6 and \7 to cycle panels. \8 or \9 to undo or redo. \10 to ask me to stop talking."
FILE_TTS,\0 for new music. \1 to open a file. \2 to save. \3 to save as. \4 to export. \5 to edit the config file.
MUSIC_PANEL_STATUS_TTS,This music is named \0. The b p m is \1. The gain is \2.
MUSIC_PANEL_INPUT_TTS,\0 and \1 to scroll.
NAME,name
